time,flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,ema_flux,flux_gradient,flux_variance,flux_skew,flux_kurtosis,flux_zscore,rolling_count,cluster
1519.4931902304274,0.3219758360423315,0.1295746527284507,0.9929656818490696,210265,0.4362141850642729,0.2735268934393389,0.3211171467162641,0.129574378254258,0.0357230565200974,0.0511943842989897,0.3219758360423315,0.1295746527284507,1.0,0.4362141850642729,0.3185964466607549,0.2735268934393389,0.3211939930539667,0.0255444318945015,0.8449963590648547,0.09548522989044303,0.2594422971324307,0.006921972048116555,2.5564749785124885,4.756583861634527,9.042092376851175,1.0,-1
1519.4945791219932,0.2000085136442653,0.08727306866004,0.992978215155354,210266,0.4421794269619568,0.2615396590645105,0.2083272145834458,0.0872725500757871,0.0339297739589525,0.0490619466826727,0.2000085136442653,0.08727306866004,0.0,0.4421794269619568,0.3818111443982031,0.2615396590645105,0.3895469576318118,0.0296326181983269,0.8497876721140836,0.10855064035967081,-0.12196732239806618,0.007889303127327656,1.80115573420164,1.7878594123998592,4.632380566343401,2.0,-1
1520.1584689359702,0.1850266363659809,0.0716808143888911,0.9976926966465972,210744,0.4273837482396629,0.2852027710760012,0.1828849255784366,0.0716804776464128,0.0305988598691397,0.0468683997879475,0.1850266363659809,0.0716808143888911,1.0,0.4273837482396629,0.3952918802119547,0.2852027710760012,0.3997422552849343,0.0213664255092498,0.8476828425869908,0.08661680818287106,0.10487001818271141,0.0013165790216368572,2.192912060015913,3.770295637805817,4.09071284847706,1.0,-1
1520.5723580716342,0.5842693822233462,0.233047524293342,0.9993396514252542,211042,0.4049788633174103,0.3157935704839474,0.5700590421304925,0.2330470857503925,0.0269311177095106,0.053664994447514,0.5842693822233462,0.233047524293342,1.0,0.4049788633174103,0.1858479629780216,0.3157935704839474,0.2036188852167533,0.0176794233935568,0.8340508571448488,0.12493606591304335,0.5271326391261786,0.028067187150715194,2.630685207340896,4.996661180533672,18.525279559065858,1.0,-1
1520.5737469608707,0.2645190916829083,0.1095538803437339,0.999343568083466,211043,0.4069516204790488,0.3121351288245932,0.2578957636703416,0.1095533286304739,0.0290129877847939,0.0509729063210295,0.2645190916829083,0.1095538803437339,0.0,0.4069516204790488,0.3538277449853555,0.3121351288245932,0.3552375873974043,0.017407471550599,0.8620058728297726,0.14238394413427646,-0.3197502905404379,0.02999750768477079,2.090981326782581,2.939254361142943,6.964751666130683,2.0,-1
1520.5751358501088,0.2468243531643716,0.1035972465585386,0.9993470930758585,211044,0.4197275716305739,0.3092550790070163,0.248974450676787,0.1035965893707056,0.0316485607682552,0.0492911927892434,0.2468243531643716,0.1035972465585386,0.0,0.4197275716305739,0.3688564986389671,0.3092550790070163,0.3588996168382006,0.0196620423137187,0.8580507397680471,0.15543899526303837,-0.01769473851853673,0.03105867568293709,1.7364962951748188,1.8548467264447845,6.325000822258133,3.0,-1
1520.5765247393465,1.0,0.4123504048550117,0.9993506180682504,211045,0.394833255049889,0.4231338055578817,1.0,0.4123505996603374,0.0395891475337528,0.0610716461406815,1.0,0.4123504048550117,0.0,0.394833255049889,0.0,0.4231338055578817,0.0001636118626073,0.0195820445868952,0.865272910336552,0.2610091208551586,0.7531756468356284,0.1007788796889324,1.5981413385221248,1.2872118177652565,33.555963017182584,4.0,-1
1520.577913628816,0.7610417281974691,0.3159684286003905,0.9993553180581074,211046,0.425739783937388,0.4085000389204651,0.765671201685004,0.3159680991018394,0.0380570410778589,0.0584479175459762,0.7610417281974691,0.3159684286003905,0.0,0.425739783937388,0.101139096536881,0.4085000389204651,0.1062188383370985,0.0239436730110546,0.8655649836154112,0.32351319677294743,-0.23895827180253093,0.1218672139755864,0.9625020897641577,-0.549124772712323,24.91645947911972,5.0,-1
1520.5793025180528,0.5650354491382892,0.2322270014909797,0.9993588430504978,211047,0.4170972287465702,0.3203860823541617,0.5573547607855707,0.2322262396451959,0.0308456758194133,0.0485166240541659,0.5650354491382892,0.2322270014909797,0.0,0.4170972287465702,0.1986766646662943,0.3203860823541617,0.2072857707173989,0.0163169964841991,0.8473052186797974,0.35370347831861515,-0.1960062790591799,0.11826920599514473,0.6264647613352982,-0.9546109356181529,17.829879346778856,6.0,-1
1520.58069140729,0.4444280088377548,0.1950508036633476,0.9993627597087116,211048,0.4250352278068021,0.3447497470233429,0.4437202655104162,0.1950504672794561,0.0398275059694384,0.0556907497642376,0.4444280088377548,0.1950508036633476,0.0,0.4250352278068021,0.2611348397560156,0.3447497470233429,0.2674433872138078,0.0204481754924656,0.8639181621490066,0.3650440446335076,-0.12060744030053439,0.1074665196864169,0.44508839314371446,-0.9154688540155957,13.469333886966334,7.0,-1
1520.582080296528,0.3572430321656323,0.1362884212883575,0.999366284701102,211049,0.4055894786288263,0.2873822682340687,0.348923322519834,0.13628824967265,0.0291189206721251,0.0463605368018553,0.3572430321656323,0.1362884212883575,0.0,0.4055894786288263,0.3048159768314402,0.2873822682340687,0.3106264597362598,0.0177508426143538,0.8438676583815061,0.3640689180750232,-0.0871849766721225,0.09206103633870641,0.4264391957905397,-0.6686743820742609,10.317173014932637,8.0,-1
1520.5834691857654,0.2594768119064792,0.1064992497082517,0.999369809693496,211050,0.4356035697519473,0.3282478399632964,0.265981647731917,0.106498833989022,0.0301845926813777,0.0514540124196845,0.2594768119064792,0.1064992497082517,0.0,0.4356035697519473,0.3431392342815038,0.3282478399632964,0.3441829539225294,0.0230891407087537,0.8696122263325856,0.3509949048039552,-0.0977662202591531,0.07836751313150006,0.5810267125088423,-0.4337755539875441,6.782448732485592,9.0,-1
1520.5848580750026,0.2308620919470287,0.0981863740871666,0.999373726351708,211051,0.4139971817758123,0.307153421032126,0.2308528799579736,0.0981862801338655,0.0364448902874718,0.0541564580509836,0.2308620919470287,0.0981863740871666,0.0,0.4139971817758123,0.3677903724232689,0.307153421032126,0.3692966277465923,0.0196074762077554,0.8559872288024796,0.33597830319683936,-0.028614719959450502,0.06606450359348229,0.8910615469421778,-0.30493911730750556,5.7478874575587104,10.0,-1
1524.323737480202,0.1887816794264489,0.0750232522812295,0.9683757265890574,213743,0.4070925317064393,0.3298824628318471,0.1811843229781837,0.0750230005059364,0.0301934277635813,0.0462262344894215,0.1887816794264489,0.0750232522812295,0.0,0.4070925317064393,0.391888171963648,0.3298824628318471,0.3838945039674941,0.0129790887595908,0.8845367782672754,0.10900659783433386,0.05984549543574941,0.000946210918754019,1.8742663338852552,2.637653858331319,4.226475915232501,2.0,-1
1527.355657591313,0.1868171313587918,0.0875868073827534,0.878054846531624,215926,0.3846406763750565,0.3617186891888195,0.1801509861551142,0.0875862011377233,0.0354469035660971,0.0578799810319567,0.1868171313587918,0.0875868073827534,1.0,0.3846406763750565,0.378352509945183,0.3617186891888195,0.3828091745912267,0.0086674215865852,0.9058047949898108,0.0997465105118445,0.0814040807310432,0.001305475856576382,1.9670453054584265,2.839228124972002,4.1554479493320615,1.0,-1
1540.3290801612625,0.3371976731782888,0.1956056890114537,0.1609331359859815,225267,0.5413339596061633,0.534521678213423,0.4778053911983226,0.1956057051549615,0.0323093292666112,0.0525500090541859,0.3371976731782888,0.1956056890114537,0.0,0.5413339596061633,0.2483190113969726,0.534521678213423,0.2186539935956042,0.0795293570971974,0.9701377105667276,0.12933198935893525,0.21577321886919432,0.005733466432365919,2.436881102640504,4.386103889273808,9.592435810455331,2.0,-1
1540.330469018602,0.8155459801710983,0.3793440507654875,0.1608121112471927,225268,0.5389854391742119,0.6192885498567193,0.9522812456158728,0.3793441444194982,0.0295031586488652,0.0444899714322755,0.8155459801710983,0.3793440507654875,0.0,0.5389854391742119,0.0232732628032228,0.6192885498567193,0.0,0.0756147159294856,0.9645267838719408,0.21510873821045562,0.47834830699280945,0.05248738834687309,2.234513630736718,3.5172523407518828,26.887053232638202,3.0,-1
1540.3318578759408,0.4263135049243534,0.2274313610506029,0.1606906948425823,225269,0.5434006575860622,0.5706390597033533,0.562317447536258,0.2274312218241654,0.0296753798238966,0.0505268431136665,0.4263135049243534,0.2274313610506029,0.0,0.5434006575860622,0.2014901307694239,0.5706390597033533,0.1764821021509548,0.0750995879992009,0.9688468265208928,0.24150933404969283,-0.38923247524674487,0.055850153292984386,1.705258718874591,1.7248051144776166,12.814406482823516,4.0,-1
1540.3332467332802,0.4281937383296919,0.2345923673611532,0.1605692784379737,225270,0.5413809300143839,0.5726628784932473,0.5663559395671278,0.2345917771947308,0.0305610779364122,0.0474220084203063,0.4281937383296919,0.2345923673611532,1.0,0.5413809300143839,0.206358180217598,0.5726628784932473,0.1774533141207683,0.0756192058474566,0.968912400907413,0.2648448845846927,0.001880233405338494,0.05751829433115304,1.2940287113453315,0.6774201195885561,12.88238606367364,5.0,-1
1540.3346355906197,0.40839803620797,0.2231524290780422,0.1604482536991849,225271,0.5379990605924831,0.5431618276643349,0.5425524215845616,0.2231516349604936,0.0291819870495062,0.0480577865908635,0.40839803620797,0.2231524290780422,0.0,0.5379990605924831,0.2217750647474821,0.5431618276643349,0.1897197212995194,0.0729871986396556,0.9579543792541172,0.28278902853760235,-0.01979570212172188,0.055838390194402926,1.003471083968103,0.2258326161909996,12.166675168926353,6.0,-1
1540.336024447959,0.3459772455599612,0.1892705678742912,0.1603268372945763,225272,0.5468764678262232,0.5543706701964766,0.4861411778868731,0.1892703426220334,0.0255532602101487,0.046782259872903,0.3459772455599612,0.1892705678742912,0.0,0.5468764678262232,0.236283950455705,0.5543706701964766,0.210725168491269,0.0756340812050929,0.9719842269416076,0.2906875556653972,-0.06242079064800882,0.05142485093484879,0.8668125800807487,0.2735432043228059,9.90986004558212,7.0,-1
1540.3374133050656,0.289032470348932,0.1772595770946079,0.1602046375583246,225273,0.5533114138097517,0.5379466023205168,0.4281871894807629,0.1772597489487486,0.0308823124637072,0.0514607447978141,0.289032470348932,0.1772595770946079,0.0,0.5533114138097517,0.2767847315449563,0.5379466023205168,0.2396854020303935,0.076648683511816,0.9723128242721618,0.29048067000083905,-0.0569447752110292,0.047513425982837226,0.8217394496125484,0.49438100145918096,7.851029509192749,7.0,-1
1540.3388021624046,0.3358272722924758,0.1830536590058669,0.1600832211537142,225274,0.5340065758582568,0.5359227835297133,0.4637138809315857,0.1830533713542781,0.0256406796987316,0.0472461034635323,0.3358272722924758,0.1830536590058669,0.0,0.5340065758582568,0.2485121113354167,0.5359227835297133,0.2270404089549482,0.0727400675651671,0.9606375561264588,0.29614899528729366,0.046794801943543796,0.039566857952518616,0.916922737354945,1.096122017431286,9.54288915441268,8.0,-1
1540.340191019744,0.3291399526424428,0.1910268644383803,0.1599621964149271,225275,0.5572569281366668,0.5283723826578353,0.4698963360808568,0.1910267656913324,0.0301730013555809,0.0468255887680459,0.3291399526424428,0.1910268644383803,0.0,0.5572569281366668,0.2490918402617228,0.5283723826578353,0.2203726652391098,0.0776032381743935,0.9728819783896988,0.3002728649566873,-0.006687319650032997,0.030833446594172514,1.3281251278195352,2.144766840004558,9.3011100297948,9.0,-1
1540.3415798770843,0.3454672486843702,0.1952828262544566,0.1598407800103167,225276,0.5386096759057182,0.5398147427413278,0.4785738359210079,0.1952827886896644,0.0289852617362267,0.0510555937344694,0.3454672486843702,0.1952828262544566,0.0,0.5386096759057182,0.2505109102537997,0.5398147427413278,0.2180850875071325,0.0735541820645519,0.9656518085879237,0.3059221629226477,0.016327296041927397,0.022794725362061414,2.22842571813845,3.7477326130113235,9.891421178503641,10.0,-1
1540.342968734191,0.3776466873788173,0.2098622326848049,0.159718580274065,225277,0.5573978393622383,0.5714952907301267,0.5156158694491815,0.2098613861340839,0.0264215902123499,0.0492468281436195,0.3776466873788173,0.2098622326848049,0.0,0.5573978393622383,0.2280433033048621,0.5714952907301267,0.2012706067366627,0.0771475041190806,0.9777078007904676,0.3148877284796689,0.032179438694447116,0.022338913666653203,2.2220433979579006,3.76205580391486,11.054864370306172,10.0,-1
1540.3443575915296,0.3449756596882718,0.1886057139024597,0.1595971638694546,225278,0.5312353217477721,0.5064995718848877,0.4732612386504513,0.1886055213339341,0.0274066892924478,0.0479692299246963,0.3449756596882718,0.1886057139024597,0.0,0.5312353217477721,0.2500330951838947,0.5064995718848877,0.2137588984962093,0.071474270270414,0.9575380868706224,0.3186487198807443,-0.03267102769054547,0.002090259987241013,0.17446609725037202,-1.0093998150177623,9.87364784578313,10.0,-1
1540.3457464488683,0.3016846003789064,0.1847771410606915,0.1594761391306658,225279,0.5535932362618041,0.5608313224884114,0.4437043391949204,0.184777079542572,0.0248093764940271,0.0455012091523752,0.3016846003789064,0.1847771410606915,0.0,0.5535932362618041,0.2674985555051825,0.5608313224884114,0.2349640044563687,0.0783909783599482,0.974307978394096,0.31652820494301454,-0.04329105930936544,0.0018927005665961853,0.44712879463015326,-0.6476768609952184,8.308465534878124,10.0,-1
1540.347135305975,0.2996441198083408,0.1703526831423785,0.1593539393944141,225280,0.5496477219357985,0.5623881061737848,0.4404626313598987,0.1703522191613338,0.0201393181710316,0.0447026455311423,0.2996441198083408,0.1703526831423785,0.0,0.5496477219357985,0.2608760858385008,0.5623881061737848,0.2351440522138501,0.0783803366849453,0.9734924947514844,0.31441769430118033,-0.0020404805705655504,0.0013295927093449052,0.4781966078241096,-0.42504415058784106,8.234692239751025,10.0,-1
1540.3485241633152,0.2269482809259351,0.1494167861261548,0.1592325229898037,225281,0.5349459840308555,0.5401260994785844,0.3621377143816735,0.1494170974602608,0.0325172809236593,0.055269371943349,0.2269482809259351,0.1494167861261548,0.0,0.5349459840308555,0.3068362312985391,0.5401260994785844,0.2725618610662597,0.0741548377652973,0.970231186300074,0.3034840176292747,-0.07269583888240572,0.0017744947258787563,-0.9190031845035552,0.4378064190346165,5.606384156965751,10.0,-1
1540.3499130206546,0.2282608284762002,0.1392201976025733,0.1591111065851951,225282,0.5325974635979946,0.5092239433333816,0.3567497013230323,0.1392200063164885,0.0235604205786079,0.0423846359535584,0.2282608284762002,0.1392201976025733,0.0,0.5325974635979946,0.304371846973019,0.5092239433333816,0.2799735157966694,0.0713650707835304,0.956012707346616,0.2940811189851404,0.0013125475502650807,0.0024711011360848134,-0.5396461717313221,-0.7441805269179262,5.653839133597663,10.0,-1
1540.3513018777608,0.194871564773301,0.1289693450856237,0.1589889068489434,225283,0.5407233442938377,0.5122596715191321,0.3365490438004128,0.1289689241802882,0.0245494211907331,0.0424752641206884,0.194871564773301,0.1289693450856237,0.0,0.5407233442938377,0.3176230084155098,0.5122596715191321,0.2890007442845581,0.0773778849946569,0.956918165486102,0.2816799247086605,-0.033389263702899186,0.003751744885957054,-0.5299003105311464,-1.0945415959050655,4.446654884571568,10.0,-1
1540.3526907350993,0.204433965101618,0.1332200245660626,0.1588678821101545,225284,0.5424142790052429,0.493266910562852,0.3437421173521189,0.1332195709569177,0.0251326121296844,0.0418142826884144,0.204433965101618,0.1332200245660626,0.0,0.5424142790052429,0.3135153436138309,0.493266910562852,0.2809150310927912,0.0743255221340423,0.968498815529054,0.27202417975778015,0.009562400328316983,0.004386705596317678,-0.13864379730941392,-1.4978479702045,4.7923821567253375,10.0,-1
1540.354079592206,0.1925638412379555,0.1337604235088587,0.1587456823739028,225285,0.5455143259750912,0.5325756986076158,0.3328236912374587,0.133760052819662,0.0296687723906248,0.0466020392891231,0.1925638412379555,0.1337604235088587,0.0,0.5455143259750912,0.3202841401227556,0.5325756986076158,0.2871483442236706,0.0746823082249032,0.9801925667616598,0.26209163744280206,-0.011870123863662485,0.004921676903869179,0.208445287880046,-1.5317416003802447,4.363219456711743,10.0,-1
